Timestamp,Source,Person,Key,Value_X,Value_Y,Value_Z,Conf
1773225237.080727,PC1,0,0,0.43796,0.57179,-1.04966,0.99991
1773225237.080727,PC1,0,1,0.46385,0.50145,-1.01436,0.99974
1773225237.080727,PC1,0,2,0.47789,0.50111,-1.01425,0.9998
1773225237.080727,PC1,0,3,0.49099,0.50208,-1.01438,0.99969
1773225237.080727,PC1,0,4,0.41897,0.50033,-1.02594,0.99978
1773225237.080727,PC1,0,5,0.40362,0.49856,-1.02545,0.99984
1773225237.080727,PC1,0,6,0.38999,0.49736,-1.0257,0.99979
1773225237.080727,PC1,0,7,0.51333,0.5181,-0.6831,0.99972
1773225237.080727,PC1,0,8,0.37013,0.5096,-0.72155,0.99989
1773225237.080727,PC1,0,9,0.46173,0.64008,-0.9155,0.99988
1773225237.080727,PC1,0,10,0.41057,0.64129,-0.9272,0.99993
1773225237.080727,PC1,0,11,0.61665,0.7955,-0.39242,0.9991
1773225237.080727,PC1,0,12,0.2623,0.82635,-0.50791,0.99943
1773225237.080727,PC1,0,13,0.69083,1.06882,-0.37224,0.25983
1773225237.080727,PC1,0,14,0.20301,1.23474,-0.34451,0.41885
1773225237.080727,PC1,0,15,0.6635,1.30346,-0.65601,0.03871
1773225237.080727,PC1,0,16,0.25789,1.43356,-0.66159,0.09814
1773225237.080727,PC1,0,17,0.66896,1.36332,-0.73348,0.04056
1773225237.080727,PC1,0,18,0.25206,1.50775,-0.73754,0.093
1773225237.080727,PC1,0,19,0.61312,1.04171,-0.83905,0.07001
1773225237.080727,PC1,0,20,0.25873,1.58785,-0.73933,0.15083
1773225237.080727,PC1,0,21,0.65641,1.38323,-0.63233,0.06776
1773225237.080727,PC1,0,22,0.29067,1.46422,-0.68803,0.14201
1773225237.080727,PC1,0,23,0.53681,1.37517,0.0011,0.00056
1773225237.080727,PC1,0,24,0.3544,1.38003,0.00255,0.00048
1773225237.080727,PC1,0,25,0.51849,1.21615,0.08038,0.00092
1773225237.080727,PC1,0,26,0.38447,0.62597,0.10247,0.00025
1773225237.080727,PC1,0,27,0.48218,0.29223,0.28607,0.00011
1773225237.080727,PC1,0,28,0.29654,0.76423,-0.03965,1e-05
1773225237.080727,PC1,0,29,0.47995,1.04216,0.52196,9e-05
1773225237.080727,PC1,0,30,0.36962,1.10473,0.48287,2e-05
1773225237.080727,PC1,0,31,0.5184,2.5498,0.20305,0.00016
1773225237.080727,PC1,0,32,0.4115,2.56136,-0.0576,7e-05
1773225237.080727,PC1,0,Width_Shoulder,0.374,,,
1773225237.080727,PC2,0,0,0.39349,0.42562,0.0,0.99906
1773225237.080727,PC2,0,1,0.41408,0.35725,0.0,0.99866
1773225237.080727,PC2,0,2,0.42481,0.3542,0.0,0.99885
1773225237.080727,PC2,0,3,0.43589,0.3497,0.0,0.99879
1773225237.080727,PC2,0,4,0.39591,0.35778,0.0,0.99792
1773225237.080727,PC2,0,5,0.39358,0.35515,0.0,0.9978
1773225237.080727,PC2,0,6,0.39214,0.35159,0.0,0.99742
1773225237.080727,PC2,0,7,0.48855,0.3462,0.0,0.99927
1773225237.080727,PC2,0,8,0.42379,0.34712,0.0,0.99726
1773225237.080727,PC2,0,9,0.42489,0.47713,0.0,0.99955
1773225237.080727,PC2,0,10,0.40246,0.47472,0.0,0.99906
1773225237.080727,PC2,0,11,0.63509,0.60072,0.0,0.9996
1773225237.080727,PC2,0,12,0.41087,0.55583,0.0,0.99929
1773225237.080727,PC2,0,13,0.73174,0.97529,0.0,0.97799
1773225237.080727,PC2,0,14,0.3043,0.85071,0.0,0.70075
1773225237.080727,PC2,0,15,0.72294,1.3484,0.0,0.804
1773225237.080727,PC2,0,16,0.10513,1.00872,0.0,0.5157
1773225237.080727,PC2,0,17,0.73734,1.43293,0.0,0.69924
1773225237.080727,PC2,0,18,0.71486,1.41722,0.0,0.76814
1773225237.080727,PC2,0,19,0.05417,1.08405,0.0,0.52592
1773225237.080727,PC2,0,20,0.70522,1.38597,0.0,0.73686
1773225237.080727,PC2,0,21,0.08282,1.06513,0.0,0.53978
1773225237.080727,3D,0,0,-0.0832321979037509,-0.05670314818398864,1.3583507361865257,0.6999359130859375
