Timestamp,Source,Person,Key,Value_X,Value_Y,Value_Z,Conf
1772198443.388672,PC1,0,0,0.51357,0.49523,-0.7806,0.9999
1772198443.388672,PC1,0,1,0.53457,0.44532,-0.73905,0.99985
1772198443.388672,PC1,0,2,0.54605,0.44855,-0.73926,0.99984
1772198443.388672,PC1,0,3,0.5574,0.45216,-0.73932,0.99982
1772198443.388672,PC1,0,4,0.49369,0.44144,-0.73389,0.99982
1772198443.388672,PC1,0,5,0.47821,0.44291,-0.7334,0.99982
1772198443.388672,PC1,0,6,0.46443,0.4463,-0.73363,0.9998
1772198443.388672,PC1,0,7,0.57757,0.48832,-0.44624,0.99986
1772198443.388672,PC1,0,8,0.44778,0.48979,-0.41387,0.9998
1772198443.388672,PC1,0,9,0.5351,0.56871,-0.67102,0.99992
1772198443.388672,PC1,0,10,0.48288,0.56822,-0.66172,0.9999
1772198443.388672,PC1,0,11,0.66879,0.79252,-0.3006,0.9957
1772198443.388672,PC1,0,12,0.3682,0.82015,-0.24103,0.99141
1772198443.388672,PC1,0,13,0.71489,1.14413,-0.42545,0.12365
1772198443.388672,PC1,0,14,0.38022,1.22777,0.01662,0.12296
1772198443.388672,PC1,0,15,0.69473,1.27993,-0.69491,0.05646
1772198443.388672,PC1,0,16,0.40061,1.07346,-1.08562,0.1097
1772198443.388672,PC1,0,17,0.70821,1.37835,-0.75885,0.07611
1772198443.388672,PC1,0,18,0.41331,1.14377,-1.18497,0.12845
1772198443.388672,PC1,0,19,0.6824,1.37559,-0.7575,0.12306
1772198443.388672,PC1,0,20,0.4068,0.98394,-1.25018,0.18914
1772198443.388672,PC1,0,21,0.66872,1.32617,-0.69115,0.12757
1772198443.388672,PC1,0,22,0.41517,1.0284,-1.13649,0.18128
1772198443.388672,PC1,0,23,0.64233,1.46222,-0.1252,0.00052
1772198443.388672,PC1,0,24,0.48148,1.47284,0.12856,0.00039
1772198443.388672,PC1,0,25,0.62394,1.88885,-0.20557,0.00067
1772198443.388672,PC1,0,26,0.48529,1.88583,0.16226,0.00019
1772198443.388672,PC1,0,27,0.63149,2.26755,0.04735,4e-05
1772198443.388672,PC1,0,28,0.48142,2.26741,0.3194,1e-05
1772198443.388672,PC1,0,29,0.65055,2.33634,0.05403,3e-05
1772198443.388672,PC1,0,30,0.48314,2.33366,0.32756,1e-05
1772198443.388672,PC1,0,31,0.57377,2.37523,-0.24127,3e-05
1772198443.388672,PC1,0,32,0.474,2.39346,0.05039,3e-05
1772198443.388672,PC1,0,Width_Shoulder,0.3077,,,
1772198443.388672,PC1,0,Face_Mouth_Openness,0.2205,,,
